"id","genre"
"MA0000012170","Avant-Garde"
"MA0000002467","Blues"
"MA0000002944","Children's"
"MA0000002521","Classical"
"MA0000004433","Comedy/Spoken"
"MA0000002532","Country"
"MA0000002567","Easy Listening"
"MA0000002572","Electronic"
"MA0000002592","Folk"
"MA0000012075","Holiday"
"MA0000002660","International"
"MA0000002674","Jazz"
"MA0000002692","Latin"
"MA0000002745","New Age"
"MA0000002613","Pop/Rock"
"MA0000002809","R&B"
"MA0000002816","Rap"
"MA0000002820","Reggae"
"MA0000004431","Religious"
"MA0000004432","Stage & Screen"
"MA0000011877","Vocal"
